,month,HPI_NSA,HPI_SA,CPI,FMHPI_NSA,FMHPI_SA,federal_funds_rate,unemployment_rate,mortgage_rate_15,mortgage_rate_30,AWI,awi_annual_change
0,1991-01-01,100.0,100.0,100.0,100.0,100.0,6.91,6.4,,9.6375,21811.6,0.0373
1,1991-02-01,100.36,100.4,100.15,100.05,99.99,6.25,6.6,,9.365,21811.6,0.0373
2,1991-03-01,100.67,100.46,100.3,100.21,99.87,6.12,6.8,,9.5,21811.6,0.0373
3,1991-04-01,100.67,100.3,100.45,100.39,99.7,5.91,6.7,,9.4925,21811.6,0.0373
4,1991-05-01,100.82,100.35,100.74,100.61,99.57,5.78,6.9,,9.472,21811.6,0.0373
5,1991-06-01,101.35,100.48,101.04,100.83,99.49,5.9,6.9,,9.615,21811.6,0.0373
6,1991-07-01,101.29,100.5,101.19,100.91,99.43,5.82,6.8,,9.575,21811.6,0.0373
7,1991-08-01,101.24,100.33,101.49,100.82,99.43,5.66,6.9,8.77,9.244,21811.6,0.0373
8,1991-09-01,101.34,100.59,101.93,100.81,99.68,5.45,6.9,8.67,9.0075,21811.6,0.0373
9,1991-10-01,101.55,100.87,102.08,100.98,100.16,5.21,7.0,8.4825,8.855,21811.6,0.0373
10,1991-11-01,101.99,101.35,102.38,101.14,100.66,4.81,7.0,8.325999999999999,8.712,21811.6,0.0373
11,1991-12-01,102.15,101.83,102.45,101.27,101.07,4.43,7.3,8.07,8.497499999999999,21811.6,0.0373
12,1992-01-01,102.18,102.2,102.6,101.5,101.45,4.03,7.3,8.006,8.431999999999999,22935.42,0.0515
13,1992-02-01,102.88,102.94,102.97,101.81,101.72,4.06,7.4,8.3825,8.7625,22935.42,0.0515
14,1992-03-01,102.99,102.78,103.49,102.03,101.68,3.98,7.4,8.5775,8.935,22935.42,0.0515
15,1992-04-01,102.89,102.51,103.64,102.09,101.4,3.73,7.4,8.47,8.8525,22935.42,0.0515
16,1992-05-01,103.05,102.54,103.79,102.1,101.06,3.82,7.6,8.294,8.672,22935.42,0.0515
17,1992-06-01,103.38,102.47,104.16,102.19,100.87,3.76,7.8,8.0775,8.51,22935.42,0.0515
18,1992-07-01,103.67,102.83,104.38,102.43,100.98,3.25,7.7,7.67,8.128,22935.42,0.0515
19,1992-08-01,104.22,103.26,104.68,102.76,101.37,3.3,7.6,7.49,7.975,22935.42,0.0515
20,1992-09-01,104.44,103.66,104.98,102.99,101.84,3.22,7.6,7.405,7.922499999999999,22935.42,0.0515
21,1992-10-01,104.67,103.97,105.35,103.1,102.26,3.1,7.3,7.545999999999999,8.088,22935.42,0.0515
22,1992-11-01,104.88,104.24,105.5,103.11,102.57,3.09,7.4,7.795,8.305,22935.42,0.0515
23,1992-12-01,104.46,104.15,105.42,102.79,102.53,2.92,7.4,7.742,8.206,22935.42,0.0515
24,1993-01-01,104.19,104.22,105.94,102.32,102.26,3.02,7.3,7.51,7.9925,23132.67,0.0086
25,1993-02-01,103.92,104.01,106.32,102.16,102.08,3.03,7.1,7.17,7.6825,23132.67,0.0086
26,1993-03-01,104.51,104.32,106.69,102.45,102.11,3.07,7.0,6.99,7.495,23132.67,0.0086
27,1993-04-01,105.38,104.97,106.98,102.95,102.26,2.96,7.1,6.959999999999999,7.4719999999999995,23132.67,0.0086
28,1993-05-01,105.76,105.2,107.13,103.49,102.44,3.0,7.1,6.9275,7.465,23132.67,0.0086
29,1993-06-01,106.54,105.56,107.28,103.91,102.57,3.04,7.0,6.915,7.4175,23132.67,0.0086
30,1993-07-01,106.55,105.62,107.28,104.11,102.65,3.06,6.9,6.718000000000001,7.206,23132.67,0.0086
31,1993-08-01,107.05,106.02,107.58,104.24,102.85,3.03,6.8,6.6274999999999995,7.1125,23132.67,0.0086
32,1993-09-01,107.22,106.4,107.8,104.26,103.1,3.09,6.7,6.4399999999999995,6.915,23132.67,0.0086
33,1993-10-01,107.32,106.61,108.25,104.15,103.3,2.99,6.8,6.3740000000000006,6.8340000000000005,23132.67,0.0086
34,1993-11-01,107.57,106.95,108.32,104.08,103.52,3.02,6.6,6.6875,7.155,23132.67,0.0086
35,1993-12-01,107.74,107.47,108.32,104.0,103.73,2.96,6.5,6.682,7.172,23132.67,0.0086
36,1994-01-01,107.68,107.74,108.62,103.94,103.88,3.05,6.6,6.565,7.0600000000000005,23753.53,0.0268
37,1994-02-01,107.8,107.93,108.99,104.08,104.02,3.25,6.6,6.654999999999999,7.1525,23753.53,0.0268
38,1994-03-01,108.5,108.31,109.36,104.54,104.22,3.34,6.5,7.1825,7.675,23753.53,0.0268
39,1994-04-01,109.04,108.6,109.51,105.23,104.52,3.56,6.4,7.8,8.315999999999999,23753.53,0.0268
40,1994-05-01,109.64,108.99,109.58,105.93,104.85,4.01,6.1,8.0775,8.5975,23753.53,0.0268
41,1994-06-01,110.24,109.17,109.96,106.51,105.13,4.25,6.1,7.91,8.3975,23753.53,0.0268
42,1994-07-01,110.35,109.3,110.25,106.85,105.34,4.26,6.1,8.112,8.614,23753.53,0.0268
