,month,location,HPI_NSA,HPI_SA,CPI,FMHPI_NSA,FMHPI_SA,federal_funds_rate,unemployment_rate,mortgage_rate_15,mortgage_rate_30,AWI,awi_annual_change
0,1991-01-01,East North Central,100.0,100.0,100.0,100.0,100.0,6.91,6.4,,9.6375,21811.6,0.0373
1,1991-01-01,East South Central,100.0,100.0,100.0,100.0,100.0,6.91,6.4,,9.6375,21811.6,0.0373
2,1991-01-01,Middle Atlantic,100.0,100.0,100.0,100.0,100.0,6.91,6.4,,9.6375,21811.6,0.0373
3,1991-01-01,Mountain,100.0,100.0,100.0,100.0,100.0,6.91,6.4,,9.6375,21811.6,0.0373
4,1991-01-01,New England,100.0,100.0,100.0,100.0,100.0,6.91,6.4,,9.6375,21811.6,0.0373
5,1991-01-01,Pacific,100.0,100.0,100.0,100.0,100.0,6.91,6.4,,9.6375,21811.6,0.0373
6,1991-01-01,South Atlantic,100.0,100.0,100.0,100.0,100.0,6.91,6.4,,9.6375,21811.6,0.0373
7,1991-01-01,USA,100.0,100.0,100.0,100.0,100.0,6.91,6.4,,9.6375,21811.6,0.0373
8,1991-01-01,West North Central,100.0,100.0,100.0,100.0,100.0,6.91,6.4,,9.6375,21811.6,0.0373
9,1991-01-01,West South Central,100.0,100.0,100.0,100.0,100.0,6.91,6.4,,9.6375,21811.6,0.0373
10,1991-02-01,East North Central,100.87,100.87,100.15,100.05,99.99,6.25,6.6,,9.365,21811.6,0.0373
11,1991-02-01,East South Central,100.91,100.5,100.15,100.05,99.99,6.25,6.6,,9.365,21811.6,0.0373
12,1991-02-01,Middle Atlantic,100.05,100.13,100.15,100.05,99.99,6.25,6.6,,9.365,21811.6,0.0373
13,1991-02-01,Mountain,98.38,98.82,100.15,100.05,99.99,6.25,6.6,,9.365,21811.6,0.0373
14,1991-02-01,New England,101.75,102.31,100.15,100.05,99.99,6.25,6.6,,9.365,21811.6,0.0373
15,1991-02-01,Pacific,100.18,100.65,100.15,100.05,99.99,6.25,6.6,,9.365,21811.6,0.0373
16,1991-02-01,South Atlantic,100.55,100.32,100.15,100.05,99.99,6.25,6.6,,9.365,21811.6,0.0373
17,1991-02-01,USA,100.36,100.4,100.15,100.05,99.99,6.25,6.6,,9.365,21811.6,0.0373
18,1991-02-01,West North Central,100.44,100.4,100.15,100.05,99.99,6.25,6.6,,9.365,21811.6,0.0373
19,1991-02-01,West South Central,99.81,99.68,100.15,100.05,99.99,6.25,6.6,,9.365,21811.6,0.0373
